wav_filename,wav_filesize,transcript
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ApbeWw5YC5g/parts/ApbeWw5YC5g-94810-97490.wav, 85838, влияние которой на нашу с вами жизнь бессмысленно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6H8c_i-_hq0/parts/6H8c_i-_hq0-175860-177860.wav, 53518, про желтого медведя особого назначения
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-853010-857699.wav, 135118, ну мы этого вопроса кратко касались в предыдущих моих
/Users/gosha/Projects/youtube-audio-captions-parsing/data/xsJ2MCOdKzo/parts/xsJ2MCOdKzo-253739-258509.wav, 57998, кабинете
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-160380-163803.wav, 89678, ай не тут это окошко не такое красивое тут не та
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-235830-241239.wav, 39758, версию linux уже подтверждает надежность этой системы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-601440-605020.wav, 62478, ему действительно по случайности удалось спасти от реальных угроз
/Users/gosha/Projects/youtube-audio-captions-parsing/data/_ZOr2t8rm8k/parts/_ZOr2t8rm8k-222410-226840.wav, 98318, кроме заводов есть еще такая штука как инфраструктура
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-1096020-1098407.wav, 50318, аниматорша то есть как лучше это будет смотреться
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-263740-266160.wav, 77518, спасаев это невероятно но в самолете начался пожар
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-429720-431240.wav, 48718, устроим гонки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-699780-703940.wav, 133198, руб но так ли все исполнители
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-479509-484759.wav, 168078, те методы которые как бы не рыночными объявлены
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-280430-286749.wav, 181518, если мы поставим пропоганду так что мы их разорим чтобы они боялись что танки двигаются на киев
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1091000-1094000.wav, 41358, и я решил с этим надо чтото делать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TWFzWRoVNnE/parts/TWFzWRoVNnE-683020-687780.wav, 147598, улучшенной поддержки nvme накопителей чем когда либо
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-270509-271970.wav, 46830, падать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-143690-151089.wav, 196686, производные различные н к о наподобие открытого общества сороса политические или около политические структуры в конце концов
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-793300-794900.wav, 43918, но дело в том что их озвучивали
/Users/gosha/Projects/youtube-audio-captions-parsing/data/suRhiIQwTGM/parts/suRhiIQwTGM-125340-132950.wav, 196686, зомби зомбизомби карусель зомби карусель зомби зомбизомби
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-336680-341540.wav, 150158, оксана хрюша хаха а ты слышал очень хорошая песня
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6CCiy1AsC5c/parts/6CCiy1AsC5c-76840-80610.wav, 89038, мухи задрали медлить было некогда и я быстро перешел
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-387170-393430.wav, 196238, а дети не хотят манной каши там мерзкая пенка и не
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2116000-2121000.wav, 160078, я не против бизнеса я не призываю к уничтожению бизнеса
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6CCiy1AsC5c/parts/6CCiy1AsC5c-45140-48730.wav, 95758, пока они атаковали штатив я пытался настроить и установить
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-827190-829980.wav, 80398, то есть это система ценностей которая эту цивилизацию
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-878950-880190.wav, 33998, что это такое
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1327370-1332610.wav, 144078, после тамплиеров это передалось преемственным масонским
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-951710-953920.wav, 70798, другието люди знают они не такие суммы получают
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-268360-271840.wav, 84558, но когда люди говорят о классах както их отрывают
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2150500-2154500.wav, 44558, на более эффективный способ объяснения наших действий
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-932560-934040.wav, 47438, да еще и в gta портирует
/Users/gosha/Projects/youtube-audio-captions-parsing/data/xsJ2MCOdKzo/parts/xsJ2MCOdKzo-241650-244380.wav, 71118, на площадях даже она в демократическом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/iWbdKKFnFpg/parts/iWbdKKFnFpg-859830-863438.wav, 97678, и понимаем свою ответственность как наиболее важную в нашем бизнесе
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0_qE9m8PDxw/parts/0_qE9m8PDxw-99800-104700.wav, 111438, to talk about crimea there are no unsolvable problems
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-749130-750240.wav, 35598, ну и тишина
/Users/gosha/Projects/youtube-audio-captions-parsing/data/K4OOi9kLVTM/parts/K4OOi9kLVTM-586140-591460.wav, 102478, те кто соскочил с подножки сломали шеи
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-1120450-1123570.wav, 59918, весь мир с одной стороны есть уже тврдые воспоминания
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-467990-476000.wav, 196686, мы не можем жить под этим флагом белокрасносиним это флаг торговыйэто флаг власова флаг керенского
/Users/gosha/Projects/youtube-audio-captions-parsing/data/_ZOr2t8rm8k/parts/_ZOr2t8rm8k-356170-359860.wav, 98638, трудозатратам построить одну плотину это как
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-244880-249449.wav, 146286, надо надо там выгодно кудрин объяснял нам что там выгодно а теперь что
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-404320-406360.wav, 58638, ой что это было
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-998000-999000.wav, 32078, определнность
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-292020-294680.wav, 80398, шнур действительно записал интро для детской передачи
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-423139-424220.wav, 34670, сейчас у нас
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-14429-17470.wav, 96718, слов подол прикольным потом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-345140-346880.wav, 50638, четыре мать их раза поезд
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1188590-1189960.wav, 35598, законодательный и даже культурный уровни это
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1123140-1131450.wav, 194766, первая ступенька акусматики это законодатели политики
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Qy0E84W2LIk/parts/Qy0E84W2LIk-246301-250301.wav, 121998, и файл makefile внутри каждой папки говорит
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-169580-171780.wav, 63438, ибо на улицах блейзеры а дома эти лица
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-178060-180060.wav, 64078, та самая что подарила нам братьев пилотов
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-322840-326460.wav, 115918, подходящей для этого является частная власть
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-422270-424900.wav, 81038, хотя конечно и это тоже потому что есть потребности
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TWFzWRoVNnE/parts/TWFzWRoVNnE-11905-16440.wav, 145198, и о новой высокопроизводительной платформе x от intel
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-132560-134180.wav, 49358, казалось бы с чего это вдруг
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-832370-835250.wav, 68558, что общественное сознание определяется бытием это
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-515120-518120.wav, 86158, ой чтото не получается с первого раза
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SZg4hPABNOY/parts/SZg4hPABNOY-168260-171790.wav, 92558, и на нем находилось по меньшей мере человек
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-1054729-1059700.wav, 159150, народ угнетал не зря понимаешь газ за границу гнал
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-301240-303880.wav, 58318, ой что то мне страшно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/suRhiIQwTGM/parts/suRhiIQwTGM-194220-202810.wav, 196686, зомби зомбизомби карусель зомби карусель зомби зомбизомби
/Users/gosha/Projects/youtube-audio-captions-parsing/data/R0IRQCoLqI8/parts/R0IRQCoLqI8-151600-153420.wav, 55758, без него мы умираем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-45300-48300.wav, 72718, или утренний блок диснея на первом канале с передачками от супонева
/Users/gosha/Projects/youtube-audio-captions-parsing/data/j9tW-VZukZs/parts/j9tW-VZukZs-112900-115240.wav, 52878, а ты у дома экзотику не ищи
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SWdYPaVpxMw/parts/SWdYPaVpxMw-230260-235080.wav, 145678, я наум я брусничка всем бум я мет
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1729290-1736310.wav, 196686, и различного рода обрядов то что позволит тебе
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6H8c_i-_hq0/parts/6H8c_i-_hq0-187480-189160.wav, 35278, воспользоватся специальным фонтанчиком
/Users/gosha/Projects/youtube-audio-captions-parsing/data/iWbdKKFnFpg/parts/iWbdKKFnFpg-337245-343437.wav, 112206, и в них были внедрены технологии бата американские
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1871000-1878000.wav, 196686, часто встречаются случаи когда в группе разработчиков программы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1105030-1109490.wav, 137678, за ним как удалось выяснить куб
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-217510-223050.wav, 152078, поэтому потребление а также потребности это
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2237000-2242500.wav, 144078, им нужен тот кто может обеспечить техническую поддержку
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6CCiy1AsC5c/parts/6CCiy1AsC5c-60900-64239.wav, 79118, одну веревку я пропустил через кольца чтобы потом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-366300-368979.wav, 81358, так и он мне говорит от лица церкви урумчи
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-252749-253749.wav, 32078, ну как успешно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1146820-1148420.wav, 51278, позиция сначала политически потому
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-201700-203240.wav, 49358, значит обама виноват
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-90940-94900.wav, 119758, внимание друзья мои симсалабим ахалаймахалай
/Users/gosha/Projects/youtube-audio-captions-parsing/data/R0IRQCoLqI8/parts/R0IRQCoLqI8-197740-199440.wav, 32398, тай нат най
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-45930-50210.wav, 97678, рабству это очень правильно мне кажется недостаточным
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-165409-168670.wav, 71438, тебя нет рук но у тебя нет ни лицам
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-307300-310240.wav, 63118, но рубль может продолжать падать и дальше сутьто
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-289229-292699.wav, 87758, нас депутатов классифицируют или кандидатов в депутаты
/Users/gosha/Projects/youtube-audio-captions-parsing/data/2fY9QdZg1Rk/parts/2fY9QdZg1Rk-109520-111520.wav, 54478, помимо процентов помимо купона
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TWFzWRoVNnE/parts/TWFzWRoVNnE-791740-795120.wav, 103438, вы знаете я просил о большем числе ядер
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-293730-300559.wav, 196686, раствориться в теперь уже цифровом концлагеря виртуальных денег и виртуальных же ценностей упомянутой в докладе
/Users/gosha/Projects/youtube-audio-captions-parsing/data/R0IRQCoLqI8/parts/R0IRQCoLqI8-126940-128740.wav, 33998, теперь я рядом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-143530-146890.wav, 90318, ощущается потому что очень распространено пиратство
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-115270-116270.wav, 32078, это невозможно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/K4OOi9kLVTM/parts/K4OOi9kLVTM-286620-292020.wav, 128398, навальный это очень опытный провокатор
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-1098639-1101980.wav, 96398, поэтому авторам деньги платили исправно и нужную
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-986140-988390.wav, 52238, сворованы и куда пошли база жара
/Users/gosha/Projects/youtube-audio-captions-parsing/data/CQHHwqfWxkY/parts/CQHHwqfWxkY-21040-22860.wav, 56718, я закрою глаза
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1330530-1333140.wav, 83598, шарыпово что он положительно оценивают его деятельность
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-457360-459280.wav, 58638, эти бедные ребята большую часть жизни
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-636260-639910.wav, 74958, надо лучше не не работать надо а быстрее бежать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-91280-96700.wav, 173518, возглавляет это общество доктор экономических наук
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-38600-42180.wav, 112718, кроме того были в передаче и многочисленные герои второго плана
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-897200-900200.wav, 76558, путин да у нас свобода слова пожалуйста
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1562320-1566080.wav, 120398, ольга четверикова руководства я тоже сейчас коснусь
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-1257170-1259440.wav, 72718, это прямо такой штамп был верный ленинец никита
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-1076440-1079940.wav, 52878, штутгарт вдовам я сам готовлю очень
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-409720-413160.wav, 110158, а в жу эту конспирологию вариант с матюками мне больше нравился
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-253749-256900.wav, 81998, так что она используется а не так что она работает
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-118400-121400.wav, 86158, бокср был в спокушечках как минимум четыре выпуска
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1017100-1019360.wav, 49358, те посадили на гармонике чиновник
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-674940-677860.wav, 55118, в той серии о терроризме на этом страшные события не кончились
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1044600-1054500.wav, 180366, где он был посвящен в касту жрецов затем он посетил
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ApbeWw5YC5g/parts/ApbeWw5YC5g-15800-18990.wav, 78158, марок моющих средств детских подгузников шампуней
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-485879-489349.wav, 36558, гардеробщица они меня всегда сутки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-843790-850160.wav, 191118, значит что касается мировоззрения то что это за мировоззрение
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-609220-613459.wav, 127758, мы получили эту польшу проклятую с этой польшей возимся сколько времени
/Users/gosha/Projects/youtube-audio-captions-parsing/data/2fY9QdZg1Rk/parts/2fY9QdZg1Rk-81680-83560.wav, 43918, если понадобится досрочно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-140820-145180.wav, 117198, политический оттенок в детской программе время от времени действительно начал проскальзывать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-1133070-1134990.wav, 41678, а вы вс о народе да о народе кого сейчас интересует
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1225850-1230210.wav, 139598, символы они и управляют но когда человек только
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-475080-476960.wav, 60238, а что здесь надо делать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-814540-816420.wav, 57678, когда я заканчивал да так вот я
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-61379-66320.wav, 158190, на мой взгляд это главное чему они меня научили ограничивай
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-1051320-1054240.wav, 86478, ну тут вопрос сразу те хотелось бы немножко развить
/Users/gosha/Projects/youtube-audio-captions-parsing/data/iWbdKKFnFpg/parts/iWbdKKFnFpg-769596-772741.wav, 61198, поняв это билл форрон начал говорить
/Users/gosha/Projects/youtube-audio-captions-parsing/data/xsJ2MCOdKzo/parts/xsJ2MCOdKzo-96170-97580.wav, 45198, иностранную экономику плохо это
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-276249-280430.wav, 130350, одна моя фраза и на увеличился бюджет
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-505210-512010.wav, 177166, горыныча допустим с головами когда каждая голова занята
/Users/gosha/Projects/youtube-audio-captions-parsing/data/de0vrVFCVCg/parts/de0vrVFCVCg-116890-124888.wav, 196686, каждая заплатка может добавлять новую функцииональность поддержку нового устройства исправлять проблему улучшать производительность или перерабатывать код чтобы он был более понятным
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-167500-176469.wav, 196686, поэтому вариант развитие не может идти в рамках республики не может идти в рамках под этой демократией как у нас
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-53400-58400.wav, 133838, то вы можете поделиться с ними измененной версией рецепта
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6H8c_i-_hq0/parts/6H8c_i-_hq0-256700-259040.wav, 70478, когда эта лупоглазая обращается в сторону зрителя
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-1013560-1016660.wav, 95438, потому что как только производство будет подчинено какимто
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-161860-164900.wav, 91598, для справки история игрушек была выпущена в м
/Users/gosha/Projects/youtube-audio-captions-parsing/data/GxreR3Edaq0/parts/GxreR3Edaq0-195220-199410.wav, 134158, они не хотят больше быть под господством американского
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-771850-774550.wav, 68238, лучше но дают миллион
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SZg4hPABNOY/parts/SZg4hPABNOY-144709-148200.wav, 61198, мало того что оно крутится так и еще ездит из стороны
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-503039-505180.wav, 68590, сами стали олигарха установка колебятка
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1663000-1668000.wav, 77198, когда вы запускаете программу обычно запускается исполняемый файл
/Users/gosha/Projects/youtube-audio-captions-parsing/data/kTMpsz15IZ0/parts/kTMpsz15IZ0-119869-122290.wav, 73038, герб же самого временного либерального правительства
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1337000-1341000.wav, 107598, гордость художника удовлетворение от полезной и мастерской работы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-2132380-2138780.wav, 183758, понятными лишь им символами
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0_qE9m8PDxw/parts/0_qE9m8PDxw-216600-221800.wav, 147918, from the ukrainian model with the good things that we have and create in the crimea
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-173800-178980.wav, 132558, что касается linux то это полностью бесплатный продукт
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SZg4hPABNOY/parts/SZg4hPABNOY-5390-9590.wav, 81678, очередь хотят получить новые и незабываемые ощущения
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-50210-53370.wav, 45838, уровнем преступности так вот так
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-523840-527080.wav, 57678, ну же цепляйся
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-126060-131569.wav, 161678, остров весь из картинок состоит и его уже не утопить
/Users/gosha/Projects/youtube-audio-captions-parsing/data/GxreR3Edaq0/parts/GxreR3Edaq0-162120-166180.wav, 50318, то что китай россия и саудовская аравия хотят выйти изпод
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-669800-672580.wav, 77838, и стать полноправным примным отцом сироток
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-434660-439719.wav, 142798, мерило успеха это личный успех и общество это признает чем успешнее сам человек тем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-100229-102940.wav, 86830, а в этом был какойто здравый смысл
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-505470-510020.wav, 129678, или дойти пешком независимо от средства передвижения
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-596500-600500.wav, 126798, потому что он выступает перед публикой и он справляется с этим
/Users/gosha/Projects/youtube-audio-captions-parsing/data/CISkZ1eORn0/parts/CISkZ1eORn0-73020-77820.wav, 150798, сараа если бы не мусульмане мир сейчас был бы совсем другим
/Users/gosha/Projects/youtube-audio-captions-parsing/data/2fY9QdZg1Rk/parts/2fY9QdZg1Rk-167200-168680.wav, 46478, в общем подписывайся на блог
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-188560-191800.wav, 93198, но если с валуевым и акциями протеста политическая подоплка
/Users/gosha/Projects/youtube-audio-captions-parsing/data/K4OOi9kLVTM/parts/K4OOi9kLVTM-699880-704540.wav, 109838, ссср стоял на фундаменте всеобщего страха
/Users/gosha/Projects/youtube-audio-captions-parsing/data/vhzNlErRU4I/parts/vhzNlErRU4I-122300-127280.wav, 103118, в следующий раз когда решишь передрнуть помни паровозов вс видит
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SWdYPaVpxMw/parts/SWdYPaVpxMw-235080-237080.wav, 64078, человек комета
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-660870-664590.wav, 109838, кировский завод упрся собралась конференция
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1178050-1183260.wav, 153998, всех видов наук и не только экономика как вы знаете
/Users/gosha/Projects/youtube-audio-captions-parsing/data/xsJ2MCOdKzo/parts/xsJ2MCOdKzo-105759-109009.wav, 93518, модернизация экономики но для того
